1 
1 1 1 
1 127 1 1 63 
1 1 3 1 63 
1 1 7 1 63 
1 1 15 1 63 
1 1 31 1 63 
1 1 63 1 63 
1 1 127 1 63 
1 1 63 65 63 
63 1 1 63 65 
31 1 1 31 97 
15 1 1 15 113 
7 1 1 7 121 
3 1 1 3 125 
1 1 1 1 127 
1 3 1 1 127 
1 7 1 1 127 
1 15 1 1 127 
1 31 1 1 127 
1 63 1 1 127 
1 127 1 1 127 
129 127 1 1 127 
1 1 3 1 127 
1 1 7 1 127 
1 1 15 1 127 
1 1 31 1 127 
1 1 63 1 127 
1 1 127 1 127 
1 1 127 129 127 
127 1 1 127 129 
